prefix,resource,entry-number,organisation,reference,entity
special-protection-area,,,,UK9005012,14900000
special-protection-area,,,,UK9005091,14900001
special-protection-area,,,,UK9005103,14900002
special-protection-area,,,,UK9005111,14900003
special-protection-area,,,,UK9005131,14900004
special-protection-area,,,,UK9005151,14900005
special-protection-area,,,,UK9005171,14900006
special-protection-area,,,,UK9006011,14900007
special-protection-area,,,,UK9006021,14900008
special-protection-area,,,,UK9006031,14900009
special-protection-area,,,,UK9006041,14900010
special-protection-area,,,,UK9006061,14900011
special-protection-area,,,,UK9006092,14900012
special-protection-area,,,,UK9006101,14900013
special-protection-area,,,,UK9006111,14900014
special-protection-area,,,,UK9006131,14900015
special-protection-area,,,,UK9006161,14900016
special-protection-area,,,,UK9006171,14900017
special-protection-area,,,,UK9006272,14900018
special-protection-area,,,,UK9007021,14900019
special-protection-area,,,,UK9007022,14900020
special-protection-area,,,,UK9007051,14900021
special-protection-area,,,,UK9008021,14900022
special-protection-area,,,,UK9008022,14900023
special-protection-area,,,,UK9008031,14900024
special-protection-area,,,,UK9008041,14900025
special-protection-area,,,,UK9008051,14900026
special-protection-area,,,,UK9009031,14900027
special-protection-area,,,,UK9009101,14900028
special-protection-area,,,,UK9009112,14900029
special-protection-area,,,,UK9009121,14900030
special-protection-area,,,,UK9009131,14900031
special-protection-area,,,,UK9009141,14900032
special-protection-area,,,,UK9009171,14900033
special-protection-area,,,,UK9009181,14900034
special-protection-area,,,,UK9009201,14900035
special-protection-area,,,,UK9009242,14900036
special-protection-area,,,,UK9009243,14900037
special-protection-area,,,,UK9009244,14900038
special-protection-area,,,,UK9009245,14900039
special-protection-area,,,,UK9009246,14900040
special-protection-area,,,,UK9009253,14900041
special-protection-area,,,,UK9009261,14900042
special-protection-area,,,,UK9009271,14900043
special-protection-area,,,,UK9009291,14900044
special-protection-area,,,,UK9010031,14900045
special-protection-area,,,,UK9010041,14900046
special-protection-area,,,,UK9010081,14900047
special-protection-area,,,,UK9010091,14900048
special-protection-area,,,,UK9010101,14900049
special-protection-area,,,,UK9010111,14900050
special-protection-area,,,,UK9010121,14900051
special-protection-area,,,,UK9010141,14900052
special-protection-area,,,,UK9011011,14900053
special-protection-area,,,,UK9011031,14900054
special-protection-area,,,,UK9011051,14900055
special-protection-area,,,,UK9011061,14900056
special-protection-area,,,,UK9011091,14900057
special-protection-area,,,,UK9011101,14900058
special-protection-area,,,,UK9011102,14900059
special-protection-area,,,,UK9012011,14900060
special-protection-area,,,,UK9012021,14900061
special-protection-area,,,,UK9012031,14900062
special-protection-area,,,,UK9012041,14900063
special-protection-area,,,,UK9012071,14900064
special-protection-area,,,,UK9012091,14900065
special-protection-area,,,,UK9012111,14900066
special-protection-area,,,,UK9012121,14900067
special-protection-area,,,,UK9012131,14900068
special-protection-area,,,,UK9012132,14900069
special-protection-area,,,,UK9012141,14900070
special-protection-area,,,,UK9012171,14900071
special-protection-area,,,,UK9012181,14900072
special-protection-area,,,,UK9013011,14900073
special-protection-area,,,,UK9015022,14900074
special-protection-area,,,,UK9020281,14900075
special-protection-area,,,,UK9020286,14900076
special-protection-area,,,,UK9020287,14900077
special-protection-area,,,,UK9020288,14900078
special-protection-area,,,,UK9020289,14900079
special-protection-area,,,,UK9020294,14900080
special-protection-area,,,,UK9020296,14900081
special-protection-area,,,,UK9020309,14900082
special-protection-area,,,,UK9020323,14900083
special-protection-area,,,,UK9020325,14900084
special-protection-area,,,,UK9020326,14900085
special-protection-area,,,,UK9020329,14900086
special-protection-area,,,,UK9020330,14900087
